code,name,type,state,latitude,longitude,found,faculty_count,department_count,review_rating,review_count,difficulty_SD,difficulty_rank
F101110100010,Hokkaido University,National,Hokkai Do,43.070446,141.347153,1876-08,33,78,4.16,1389,60.4,A
F101110100029,Hokkaido University of Education,National,Hokkai Do,43.170498,141.393753,1943-04,3,8,3.79,544,47.1,D
F101110100038,Muroran Institute of Technology,National,Hokkai Do,42.378716,141.034042,1897-05,3,10,3.66,126,39,F
F101110100047,Otaru University of Commerce,National,Hokkai Do,43.190952,140.97937,1910-03,2,6,3.8,257,50,C
F101110100056,Obihiro University of Agriculture And Veterinary Medicine,National,Hokkai Do,42.872356,143.177979,1941-04,3,5,4.2,87,54.5,B
F101110100074,Asahikawa Medical University,National,Hokkai Do,43.730633,142.381897,1973-09,2,4,3.93,76,56.8,B
F101110100065,Kitami Institute of Technology,National,Hokkai Do,43.822479,143.905716,1960-04,2,6,3.66,106,39.5,E
F102110100572,Hirosaki University,National,Aomori Ken,40.587959,140.472061,1920-11,13,29,3.84,546,48,D
F103110100731,Iwate University,National,Iwate Ken,39.712715,141.137711,1902-03,9,24,3.89,435,46,D
F104110100856,Tohoku University,National,Miyagi Ken,38.252632,140.873932,1886-04,25,78,4.18,1213,60.3,A
F104110100865,Miyagi University of Education,National,Miyagi Ken,38.258968,140.830948,1965-04,2,4,3.95,182,45.4,D
F105110101051,Akita University,National,Akita Ken,39.726997,140.134094,1910-03,8,25,3.8,367,47.1,D
F106110101176,Yamagata University,National,Yamagata Ken,38.246128,140.349655,1910-03,15,41,3.76,553,47.2,D
F107110101273,Fukushima University,National,Fukushima Ken,37.682877,140.454041,1921-12,7,13,3.72,367,40.6,E
F108110101414,Ibaraki University,National,Ibaraki Ken,36.401237,140.442764,1920-04,11,39,3.81,548,48.7,D
F108110101423,University of Tsukuba,National,Ibaraki Ken,36.108723,140.100632,1973-10,20,97,4.17,1121,60.4,A
F108110101432,Tsukuba University of Technology,National,Ibaraki Ken,36.10537,140.110474,1987-10,3,7,4.12,22,35.7,F
F109110101556,Utsunomiya University,National,Tochigi Ken,36.550312,139.914886,1922-10,9,18,3.95,313,50.9,C
F110110101713,Gunma University,National,Gunma Ken,36.430313,139.045197,1915-12,11,20,3.88,431,52.5,C
F111110101945,Saitama University,National,Saitama Ken,35.862579,139.608246,1921-11,10,43,3.88,784,53,C
F112110102337,Chiba University,National,Chiba Ken,35.625977,140.103653,1921-12,17,38,4.07,1088,58.1,B
F113110102700,The University of Tokyo,National,Tokyo To,35.714146,139.763214,1877-04,25,132,4.34,2206,70.5,S
F113110102719,Tokyo Medical And Dental University,National,Tokyo To,35.701828,139.765274,1928-10,4,12,4.23,158,60.6,A
F113110102728,Tokyo University of Foreign Studies,National,Tokyo To,35.672707,139.521042,1899-04,4,6,4.19,404,63.7,A
F113110102764,Tokyo Gakugei University,National,Tokyo To,35.706203,139.49176,1943-04,4,10,4.08,584,54.5,B
F113110102773,Tokyo University of Agriculture And Technology,National,Tokyo To,35.683945,139.478668,1914-04,6,43,4,374,56.8,B
F113110102737,Tokyo University of The Arts,National,Tokyo To,35.719269,139.772217,1887-10,7,38,4.25,176,54.2,B
F113110102746,Tokyo Institute of Technology,National,Tokyo To,35.606895,139.684875,1881-05,12,12,4.25,433,65,S
F113110102817,Tokyo University of Marine Science And Technology,National,Tokyo To,35.626247,139.746521,1875-11,6,20,4.16,187,53.1,C
F113110102755,Ochanomizu University,National,Tokyo To,35.71973,139.733475,1874-03,4,20,4.3,396,60.6,A
F113110102782,The University of Electro - Communications,National,Tokyo To,35.657433,139.544327,1942-04,2,9,3.92,169,57,B
F113110102791,Hitotsubashi University,National,Tokyo To,35.694389,139.443649,1920-04,10,15,4.26,432,67.9,S
F114110104592,Yokohama National University,National,Kanagawa Ken,35.476898,139.591476,1920-01,13,42,3.9,683,60.8,A
F115110105046,Niigata University,National,Niigata Ken,37.867237,138.943573,1919-04,17,48,3.86,887,49.7,C
F115110105055,Nagaoka University of Technology,National,Niigata Ken,37.424774,138.778793,1976-10,2,11,3.95,65,43,E
F115110105064,Joetsu University of Education,National,Niigata Ken,37.134945,138.22644,1978-10,2,3,4.09,73,51,C
F116110105312,University of Toyama,National,Toyama Ken,36.699642,137.187057,1920-12,21,56,3.81,624,50.8,C
F117110105393,Kanazawa University,National,Ishikawa Ken,36.545948,136.709442,1894-09,12,48,3.76,734,53.3,C
F118110105597,University of Fukui,National,Fukui Ken,36.074238,136.212402,1923-12,10,25,3.83,258,50.6,C
F119110105676,University of Yamanashi,National,Yamanashi Ken,35.678509,138.57341,1924-09,7,23,3.82,252,48.4,D
F120110105771,Shinshu University,National,Nagano Ken,36.249428,137.978943,1910-03,13,29,3.93,767,51.5,C
F121110105976,Gifu University,National,Gifu Ken,35.46553,136.737625,1923-12,14,38,3.93,596,53,C
F122110106224,National University Corporation Shizuoka University,National,Shizuoka Ken,34.966625,138.431412,1922-08,11,35,3.94,703,51.3,C
F122110106233,Hamamatsu University School of Medicine,National,Shizuoka Ken,34.76965,137.74408,1974-06,2,5,3.89,66,64.4,S
F123110106429,Nagoya University,National,Aichi Ken,35.155655,136.964676,1908-04,22,77,4.22,1281,59.6,A
F123110106447,Aichi University of Education,National,Aichi Ken,35.051189,137.049667,1943-04,3,6,3.87,541,51,C
F123110106438,Nagoya Institute of Technology,National,Aichi Ken,35.156868,136.925232,1905-03,2,11,4.01,294,57.3,B
F123110106456,Toyohashi University of Technology,National,Aichi Ken,34.70142,137.408173,1976-10,2,10,3.87,63,53,C
F124110107141,Mie University,National,Mie Ken,34.745785,136.523224,1921-12,11,35,3.94,616,52,C
F125110107284,Shiga University,National,Shiga Ken,35.278313,136.247208,1922-10,7,16,3.83,343,51.7,C
F125110107293,Shiga University of Medical Science,National,Shiga Ken,34.974438,135.946915,1974-10,2,4,3.88,61,60.3,A
F126110107407,Kyoto University,National,Kyoto Fu,35.026962,135.781967,1886-04,28,94,4.2,1434,65.6,S
F126110107416,Kyoto University of Education,National,Kyoto Fu,34.951603,135.773636,1943-04,4,6,3.99,178,51.6,C
F126110107425,Kyoto Institute of Technology,National,Kyoto Fu,35.049767,135.78334,1899-06,2,24,4.04,215,56.4,B
F127110107852,Osaka University,National,Osaka Fu,34.819496,135.521164,1917-04,26,75,4.12,1840,61.3,A
F127110107861,Osaka Kyoiku University,National,Osaka Fu,34.552101,135.64679,1943-04,6,17,3.99,566,52.2,C
F128110108663,Hyogo University of Teacher Education,National,Hyogo Ken,34.912304,135.016373,1978-10,3,7,3.83,84,53.5,C
F128110108654,Kobe University,National,Hyogo Ken,34.726303,135.23613,1902-03,28,69,3.99,1344,60.8,A
F129110109206,Nara University of Education,National,Nara Ken,34.675354,135.847336,1943-04,2,3,3.91,147,51.7,C
F129110109215,Nara Women’s University,National,Nara Ken,34.688999,135.830185,1908-04,5,25,4.06,347,55.2,B
F130110109356,Wakayama University,National,Wakayama Ken,34.266689,135.151962,1922-10,8,10,3.86,386,50.3,C
F131110109417,Tottori University,National,Tottori Ken,35.515392,134.17305,1920-11,9,20,3.83,393,50.6,C
F132110109461,Shimane University,National,Shimane Ken,35.486992,133.068192,1920-11,12,31,3.84,339,48.1,D
F133110109503,Okayama University,National,Okayama Ken,34.686493,133.917404,1900-03,21,67,4.02,1084,53.4,C
F134110109780,Hiroshima University,National,Hiroshima Ken,34.400768,132.713654,1902-04,17,39,4.04,1136,54.2,B
F135110110054,Yamaguchi University,National,Yamaguchi Ken,34.147755,131.467514,1905-04,18,47,3.83,717,49.7,C
F136110110231,Tokushima University,National,Tokushima Ken,34.069912,134.55983,1922-10,12,23,3.81,388,49.7,C
F136110110240,Naruto University of Education,National,Tokushima Ken,34.203056,134.605515,1981-10,2,3,4.16,35,50.2,C
F137110110310,Kagawa University,National,Kagawa Ken,34.343601,134.038727,1923-12,12,22,3.89,432,50.9,C
F138110110382,Ehime University,National,Ehime Ken,33.852291,132.773804,1919-04,13,30,3.93,673,48.7,D
F139110110504,Kochi University,National,Kochi Ken,33.550621,133.488892,1922-08,10,31,3.98,360,48.7,D
F140110110583,University of Teacher Education Fukuoka,National,Fukuoka Ken,33.812565,130.593628,1943-04,3,6,3.86,297,50.4,C
F140110110592,Kyushu University,National,Fukuoka Ken,33.597153,130.223312,1910-12,30,105,4.04,1057,59.1,A
F140110110574,Kyushu Institute of Technology,National,Fukuoka Ken,33.891369,130.838516,1907-07,5,16,3.83,277,52.5,C
F141110111135,Saga University,National,Saga Ken,33.224899,130.288223,1920-04,13,17,3.82,419,50.4,C
F142110111189,Nagasaki University,National,Nagasaki Ken,32.785553,129.862564,1905-03,17,31,3.88,554,50.1,C
F143110111295,Kumamoto University,National,Kumamoto Ken,32.81321,130.727722,1887-05,15,45,3.93,618,52,C
F144110111418,Oita University,National,Oita Ken,33.174316,131.612869,1921-12,12,27,3.89,429,50.3,C
F145110111523,University of Miyazaki,National,Miyazaki Ken,31.828053,131.414993,1943-04,13,31,3.92,354,50.4,C
F146110111620,Kagoshima University,National,Kagoshima Ken,31.572577,130.546463,1901-03,20,69,4.02,706,48.3,D
F146110111639,National Institute of Fitness And Sports In Kanoya,National,Kagoshima Ken,31.395185,130.78717,1981-10,2,6,4.05,55,49,D
F147110111736,University of The Ryukyus,National,Okinawa Ken,26.24585,127.758453,1950-05,15,37,3.91,499,46.1,D
F113110102808,National Graduate Institute For Policy Studies,National,Tokyo To,35.664024,139.726776,1997-10,1,1,5,1,,
F114110104609,"The Graduate University for Advanced Studies, SOKENDAI",National,Kanagawa Ken,35.272079,139.586166,1988-10,6,20,4.58,9,,
F117110105400,Japan Advanced Institute of Science And Technology,National,Ishikawa Ken,36.442867,136.59256,1990-10,1,2,3.58,3,,
F129110109224,Nara Institute of Science And Technology,National,Nara Ken,34.735664,135.731369,1991-10,1,1,4.12,35,,
F101210100081,Sapporo Medical University,Public,Hokkai Do,43.056129,141.331436,1945-04,5,12,4.09,134,55.4,B
F101210100090,Future University Hakodate,Public,Hokkai Do,41.841949,140.766815,1999-12,2,3,4.01,54,43.5,E
F101210100107,Kushiro Public University of Economics,Public,Hokkai Do,43.018459,144.393768,1987-12,1,2,3.47,109,40,E
F101210100116,Nayoro City University,Public,Hokkai Do,44.364567,142.458801,2005-12,1,4,4.05,59,49.5,C
F101210100125,SAPPORO CITY UNIVERSITY,Public,Hokkai Do,42.944695,141.341125,2005-12,5,5,3.94,106,50.5,C
F101210100134,Chitose Institute of Science And Technology,Public,Hokkai Do,42.787975,141.699905,1997-12,2,4,3.89,35,46.5,D
F102210100589,Aomori Public University,Public,Aomori Ken,40.754196,140.769241,1992-12,2,4,3.8,138,43.6,E
F102210100598,Aomori University of Health And Welfare,Public,Aomori Ken,40.814526,140.792755,1998-12,2,5,4.26,112,48.5,D
F103210100748,Iwate Prefectural University,Public,Iwate Ken,39.799114,141.131531,1998-04,8,9,3.95,179,49.3,C
F104210100872,Miyagi Akita Prefectural University,Public,Miyagi Ken,38.3489,140.840469,1996-12,6,9,3.8,211,44.5,D
F105210101068,Akita Prefectural University,Public,Akita Ken,39.804924,140.047287,1998-12,4,13,3.93,121,40.9,E
F105210101077,Akita International University,Public,Akita Ken,39.62706,140.181107,2004-04,2,4,4.18,100,69.7,S
F105210101086,Akita University of Art,Public,Akita Ken,39.685692,140.090866,2012-11,2,2,3.75,27,46.5,D
F106210101183,Yamagata Prefectural University of Health Sciences,Public,Yamagata Ken,38.296722,140.346436,1999-12,2,4,4.03,44,,
F106210101192,Yamagata Prefectural Yonezawa University of Nutrition Sciences,Public,Yamagata Ken,37.891335,140.124496,2013-10,2,2,3.9,10,46,D
F107210101280,Fukushima Medical University,Public,Fukushima Ken,37.689926,140.471603,1947-06,5,10,3.96,68,53.8,C
F107210101299,The University of Aizu,Public,Fukushima Ken,37.523617,139.937897,1992-12,2,3,4.06,68,44,E
F108210101449,Ibaraki Prefectural University of Health Sciences,Public,Ibaraki Ken,36.026962,140.210724,1994-12,3,9,4.09,71,51.1,C
F110210101720,Takasaki City University of Economics,Public,Gunma Ken,36.34544,138.977264,1952-04,4,10,3.67,369,54,C
F110210101739,Maebashi Institute of Technology,Public,Gunma Ken,36.363926,139.080566,1952-04,2,14,3.69,45,43.8,E
F110210101748,Gunma Prefectural Women’s University,Public,Gunma Ken,36.29763,139.112442,1980-01,4,11,4.17,119,51.7,C
F110210101757,Gunma Prefectural College of Health Sciences,Public,Gunma Ken,36.403595,139.095078,2004-11,4,4,4.23,44,51.5,C
F111210101952,Saitama Prefectural University,Public,Saitama Ken,35.929996,139.756241,1999-04,2,6,4.13,174,50.3,C
F112210102353,Chiba Prefectural University of Health Sciences,Public,Chiba Ken,35.651989,140.052032,2008-10,1,4,3.66,80,,
F113210102824,Tokyo Metropolitan University,Public,Tokyo To,35.616882,139.376968,2004-09,18,43,4.06,646,56.7,B
F113210102833,Advanced Institute of Industrial Technology,Public,Tokyo To,35.605923,139.747803,2005-12,1,1,3.65,9,,
F114210104616,Yokohama City University,Public,Kanagawa Ken,35.333984,139.617783,1928-03,11,15,3.87,398,59.2,A
F114210104625,Kanagawa University of Human Services,Public,Kanagawa Ken,35.273666,139.68071,2002-12,3,6,4.14,135,50.6,C
F115210105071,Niigata College of Nursing,Public,Niigata Ken,37.10453,138.269821,2001-12,2,2,4.05,33,50.5,C
F115210105080,University of Niigata Prefecture,Public,Niigata Ken,37.923443,139.127274,2009-04,4,5,4.04,128,49.9,C
F115210105099,Nagaoka Institute of Design,Public,Niigata Ken,37.467224,138.830521,1994-04,2,5,4.1,62,50.2,C
F115210111849,SANJO CITY UNIVERSITY,Public,Niigata Ken,37.643047,138.932938,2021-04,1,1,,,42.5,E
F116210105329,Toyama Prefectural University,Public,Toyama Ken,36.707066,137.097382,1989-12,3,15,3.72,73,43.9,E
F117210105417,Komatsu University,Public,Ishikawa Ken,36.354458,136.416809,2018-04,4,7,3.55,11,49.5,C
F117210105426,Ishikawa Prefectural University,Public,Ishikawa Ken,36.506672,136.597122,2004-11,2,9,3.78,41,49,D
F117210105435,Kanazawa College of Art,Public,Ishikawa Ken,36.555538,136.677475,1946-07,2,9,4,42,51.3,C
F117210105444,Ishikawa Prefectural Nursing University,Public,Ishikawa Ken,36.780563,136.73378,1999-12,2,2,3.82,27,50,C
F118210105602,Fukui Prefectural University,Public,Fukui Ken,36.109333,136.277328,1991-12,7,15,3.66,120,47.6,D
F118210105611,Tsuruga Nursing University,Public,Fukui Ken,35.641552,136.043198,2014-04,3,3,3.89,15,50.5,C
F119210105683,Tsuru University,Public,Yamanashi Ken,35.539513,138.897522,1955-04,4,12,3.83,284,55.1,B
F119210105692,Yamanashi Prefectural University,Public,Yamanashi Ken,35.663467,138.55629,2004-11,4,6,3.8,92,50.9,C
F120210105788,Suwa University of Science,Public,Nagano Ken,36.009003,138.184799,2001-12,2,3,3.85,26,46.8,D
F120210105797,The University of Nagano,Public,Nagano Ken,36.665031,138.200287,2018-04,4,5,3.82,17,49.4,C
F120210105804,Nagano College of Nursing,Public,Nagano Ken,35.745735,137.933121,1994-12,2,2,3.87,25,49,D
